source_id,source_origin_time,source_latitude_deg,source_longitude_deg,source_depth_km,source_magnitude,source_magnitude_type,strike,dip,rake,mechanism_type,solution_source,estimated_quality,zncc
7075371,2016-08-24T02:19:43.96Z,42.6403,13.2362,10.4,3.8,ML,303,45,-78,normal,model_prediction,moderate,0.795308352
14796611,2017-04-14T22:19:11.98Z,42.7493,13.142,11,2.9,ML,10,85,-46,normal,model_prediction,moderate,0.799167752
12563541,2017-01-11T23:15:48.33Z,42.911,13.1643,8.1,3.2,ML,112,87,-81,normal,model_prediction,high,0.79460144
13510111,2017-02-12T16:41:21.10Z,43.0107,13.0355,7.4,3.1,ML,350,46,-93,normal,model_prediction,moderate,0.832629621
9457171,2016-11-07T12:34:33.10Z,42.8687,13.0822,10.3,3.1,ML,302,38,-20,strike_slip,model_prediction,high,0.808887005
8676531,2016-10-26T21:52:51.90Z,42.8642,13.207,8.6,3.3,ML,299,23,-99,normal,model_prediction,high,0.824891031
7879521,2016-09-10T14:23:36.68Z,42.9538,13.1602,8.4,3.2,ML,159,37,-83,normal,model_prediction,high,0.845323265
8897151,2016-10-30T16:18:36.03Z,42.8313,13.0505,9.8,3.2,ML,224,59,25,strike_slip,model_prediction,moderate,0.787843823
11657571,2016-12-17T01:33:57.55Z,42.9863,13.0755,8.6,3.4,ML,327,58,-96,normal,model_prediction,high,0.85840559
8828361,2016-10-29T14:28:51.47Z,43.0213,13.1022,8.6,3.2,ML,294,27,-162,strike_slip,model_prediction,high,0.789408386
13615911,2017-02-16T14:11:50.73Z,42.7978,13.0713,10.3,3,ML,144,10,-2,strike_slip,model_prediction,high,0.811242342
8542491,2016-10-16T14:28:24.64Z,42.8413,13.1578,8.6,3.2,ML,356,64,-82,normal,model_prediction,high,0.865878582
16726531,2017-08-15T19:25:33.45Z,42.9968,13.1388,8.1,3.1,ML,325,50,-93,normal,model_prediction,high,0.815369606
19963681,2018-07-05T07:19:41.55Z,43.0743,13.0345,7.4,3.1,ML,162,50,-78,normal,model_prediction,high,0.862867177
8482031,2016-10-11T21:24:10.30Z,42.8668,13.0765,8.2,3.1,ML,131,25,-110,normal,model_prediction,moderate,0.799373209
14669321,2017-04-08T23:14:49.96Z,42.4648,13.2662,12.7,3,ML,313,1,6,strike_slip,model_prediction,high,0.866342485
8868891,2016-10-30T08:13:04.73Z,42.8928,13.1535,8,3.5,ML,144,39,-137,strike_slip,model_prediction,high,0.816316128
16832171,2017-08-25T03:44:47.41Z,43.0995,13.1838,7.5,3.2,ML,113,90,-163,strike_slip,model_prediction,high,0.821822286
8817361,2016-10-29T08:58:43.66Z,42.95,13.0832,8.3,3.2,ML,315,48,-132,normal,model_prediction,high,0.807479203
15474491,2017-05-23T08:30:20.07Z,42.7652,13.2107,10.2,2.8,ML,291,21,-160,strike_slip,model_prediction,high,0.822423816
13300311,2017-02-03T16:08:25.74Z,42.9782,13.032,7.2,3.3,ML,138,47,-111,normal,model_prediction,moderate,0.785843551
5490771,2015-05-21T09:33:44.75Z,43.0445,13.3135,21.5,3.4,ML,343,73,83,thrust,model_prediction,high,0.800234497
9170371,2016-11-03T01:46:29.16Z,43.0217,13.0602,8.3,3.1,ML,216,78,84,thrust,model_prediction,moderate,0.791965008
14134561,2017-03-13T01:32:44.03Z,42.7795,12.7453,6.6,3,ML,149,58,-91,normal,model_prediction,moderate,0.839246094
7393171,2016-08-29T19:04:51.89Z,42.852,13.2228,8.7,2.8,ML,138,42,-69,normal,model_prediction,high,0.805957198
8747691,2016-10-28T02:13:19.32Z,43.0297,13.1192,7.6,3.5,ML,110,84,-179,strike_slip,model_prediction,high,0.830651402
22399041,2019-06-05T22:29:30.58Z,43.2507,12.474,9.1,3,ML,307,90,89,thrust,model_prediction,high,0.797208607
8728801,2016-10-27T17:23:43.32Z,42.8487,13.1082,8.6,3.9,ML,204,31,-75,normal,model_prediction,high,0.869343042
9217011,2016-11-03T17:26:34.89Z,43.0317,13.0618,8.8,3.2,ML,142,28,-87,normal,model_prediction,high,0.857729673
15569681,2017-05-28T11:55:46.48Z,43.0543,13.0493,8.6,3.1,ML,181,35,-23,strike_slip,model_prediction,high,0.816988945
8673931,2016-10-26T21:00:47.07Z,42.9152,13.1108,8.8,3.1,ML,342,34,-135,normal,model_prediction,high,0.835055709
10210101,2016-11-19T11:37:07.12Z,42.9775,13.0463,7.1,3,ML,155,86,-106,normal,model_prediction,high,0.81198144
13065471,2017-01-28T02:26:59.04Z,42.5437,13.3252,9.2,3,ML,159,32,-93,normal,model_prediction,high,0.841454625
9139511,2016-11-02T15:53:02.83Z,43.0283,13.0542,8.5,3.4,ML,321,63,-95,normal,model_prediction,high,0.822051942
8893921,2016-10-30T15:19:03.96Z,42.7958,13.1338,9.9,3.3,ML,172,64,-93,normal,model_prediction,high,0.835590661
9222861,2016-11-03T19:16:39.92Z,43.0158,13.0497,9.1,3.2,ML,341,56,-98,normal,model_prediction,high,0.812639475
17667711,2017-11-19T00:45:21.51Z,41.258,14.8992,15.6,3,ML,300,34,-84,normal,model_prediction,moderate,0.854959249
17024681,2017-09-10T18:00:55.16Z,44.8163,9.6873,24.5,3.7,ML,142,90,-177,strike_slip,model_prediction,high,0.809297621
23547291,2019-12-07T02:29:59.23Z,45.3132,10.9493,8.4,3.2,ML,102,66,-164,strike_slip,model_prediction,high,0.820702791
22554591,2019-06-27T17:42:58.06Z,38.4062,14.7262,22.1,3.3,ML,300,41,138,strike_slip,model_prediction,moderate,0.787171781
7332041,2016-08-28T09:18:18.05Z,42.6238,13.3028,7.9,3.2,ML,305,38,-104,normal,model_prediction,high,0.810857654
9585841,2016-11-09T17:51:20.92Z,42.7042,13.1843,7.2,3.1,ML,123,87,-81,normal,model_prediction,moderate,0.826974154
22049151,2019-04-14T21:15:09.75Z,43.0877,13.1932,7.9,3,ML,174,46,-42,strike_slip,model_prediction,moderate,0.817175031
14648821,2017-04-07T19:42:15.53Z,42.6167,13.2388,10.9,2.6,ML,279,82,84,thrust,model_prediction,high,0.804290891
12476251,2017-01-08T23:48:49.63Z,42.4253,13.2923,9.7,3.4,ML,160,47,-69,normal,model_prediction,high,0.861907184
9821601,2016-11-13T10:18:38.00Z,43.0395,13.0645,12.4,3,ML,324,81,91,thrust,model_prediction,high,0.814241648
8901641,2016-10-30T17:32:09.22Z,42.8972,13.1542,8.7,3.4,ML,142,45,-96,normal,model_prediction,high,0.843083858
8918591,2016-10-30T22:19:43.22Z,42.9142,13.1547,8.7,3.4,ML,330,39,-69,normal,model_prediction,high,0.812921464
9906221,2016-11-14T14:25:13.15Z,42.9808,13.063,8.8,3.1,ML,171,13,-69,normal,model_prediction,high,0.841712296
7384051,2016-08-29T14:27:25.46Z,42.627,13.2993,8.9,2.8,ML,351,39,-52,normal,model_prediction,high,0.833964229
7320211,2016-08-28T03:20:10.65Z,42.7917,13.1857,9.2,2.6,ML,294,26,-120,normal,model_prediction,moderate,0.783555329
8866521,2016-10-30T07:34:47.90Z,42.9273,13.1328,9.5,4,ML,336,52,-87,normal,model_prediction,moderate,0.809908688
9135211,2016-11-02T14:25:59.80Z,42.8815,13.1545,9.9,3.1,ML,199,30,6,strike_slip,model_prediction,high,0.793826222
4716451,2014-12-20T04:35:20.82Z,43.6008,11.203,8.5,3,ML,167,32,-33,strike_slip,model_prediction,moderate,0.795354724
19133551,2018-05-02T19:21:10.16Z,43.0307,13.0318,8.1,3.1,ML,290,69,-138,strike_slip,model_prediction,high,0.810038686
7764261,2016-09-06T20:52:39.75Z,42.8578,13.2227,8.5,3,ML,10,56,-50,normal,model_prediction,moderate,0.81052196
8874711,2016-10-30T09:56:24.17Z,42.808,13.1208,9.5,3,ML,177,12,-21,strike_slip,model_prediction,moderate,0.805218637
8883441,2016-10-30T12:26:17.78Z,42.9392,13.1832,8.3,3.7,ML,144,39,-91,normal,model_prediction,high,0.853513062
8928161,2016-10-31T01:01:33.43Z,42.7917,13.0338,9.4,3.2,ML,314,3,61,thrust,model_prediction,high,0.82489568
8889051,2016-10-30T14:03:18.13Z,42.9387,13.2112,7.7,3.6,ML,133,59,-105,normal,model_prediction,high,0.808972061
5842131,2015-07-25T20:57:49.49Z,42.6377,13.0315,10.4,3,ML,311,20,-78,normal,model_prediction,moderate,0.842452109
10200131,2016-11-19T06:38:08.48Z,41.1473,15.1283,17.6,3.1,ML,91,88,-145,strike_slip,model_prediction,moderate,0.783277512
7585651,2016-09-02T15:23:27.98Z,42.754,13.1558,8.9,3,ML,357,30,-66,normal,model_prediction,moderate,0.787559032
9268531,2016-11-04T09:58:28.89Z,43.0067,13.0758,8.9,3,ML,320,60,-117,normal,model_prediction,moderate,0.813413441
18144331,2018-01-29T19:02:39.21Z,42.9307,13.1143,8.7,3.1,ML,319,61,-133,normal,model_prediction,high,0.828247309
13007701,2017-01-26T13:38:59.08Z,42.5178,13.3397,9.5,3,ML,297,80,156,strike_slip,model_prediction,moderate,0.800550699
8908361,2016-10-30T19:29:38.91Z,42.7718,13.0623,10.9,3,ML,205,18,-3,strike_slip,model_prediction,moderate,0.791908622
7681041,2016-09-04T14:40:24.94Z,42.8545,13.226,8.9,2.9,ML,42,29,-1,strike_slip,model_prediction,high,0.799185574
16442371,2017-07-23T12:41:12.71Z,42.7725,13.1908,9.6,2.8,ML,338,84,89,thrust,model_prediction,high,0.813441455
2050489,2009-06-30T00:38:10.46Z,42.565,13.188,8.5,3.5,ML,138,50,-88,normal,model_prediction,high,0.868286133
2359189,2011-05-21T19:17:58.70Z,42.369,13.421,8.6,3.3,ML,265,37,-123,normal,model_prediction,high,0.828148484
10299921,2016-11-21T03:45:54.12Z,43.0247,13.0728,2.9,3.2,ML,109,49,-111,normal,model_prediction,high,0.859548509
8712441,2016-10-27T10:38:14.48Z,42.9815,13.0465,9.5,3.2,ML,305,78,-123,normal,model_prediction,high,0.829677522
6920821,2016-07-10T00:37:06.82Z,41.1008,15.2223,17.4,3,ML,136,41,-87,normal,model_prediction,moderate,0.842987061
9790631,2016-11-13T00:43:29.12Z,42.8108,13.0833,10.9,2.7,ML,86,16,-64,normal,model_prediction,high,0.829000294
12402811,2017-01-05T19:52:59.31Z,42.4313,13.272,9.9,3.4,ML,153,51,-77,normal,model_prediction,high,0.866821468
2417309,2011-08-19T03:14:17.18Z,42.581,13.091,6.8,3.2,ML,316,61,-99,normal,model_prediction,high,0.845749676
6755361,2016-05-28T03:31:40.59Z,44.9197,11.2912,18.4,3.1,ML,307,74,176,strike_slip,model_prediction,moderate,0.827826083
17783181,2017-12-05T22:22:12.39Z,42.4283,13.4578,8.5,3,ML,171,16,-71,normal,model_prediction,moderate,0.861756742
6337341,2015-12-28T21:09:41.54Z,42.2907,12.8038,8.5,3,ML,358,43,-42,strike_slip,model_prediction,moderate,0.851127625
7306431,2016-08-27T21:13:11.04Z,42.6073,13.297,9.6,2.9,ML,153,38,-97,normal,model_prediction,high,0.808765173
8864991,2016-10-30T07:07:53.69Z,42.7163,13.1902,10.2,4.1,ML,298,69,-105,normal,model_prediction,high,0.808212638
8911051,2016-10-30T20:09:56.03Z,42.7278,13.2028,10.9,3.2,ML,216,22,-30,strike_slip,model_prediction,high,0.823040366
22264521,2019-05-15T02:09:53.96Z,42.9087,13.1613,10.5,3.1,ML,248,41,78,thrust,model_prediction,high,0.794197917
3311141,2014-03-30T04:03:34.63Z,43.4782,12.4027,7.8,3.1,ML,120,19,-100,normal,model_prediction,high,0.83140254
17402491,2017-10-20T20:27:34.53Z,42.6983,13.1617,10.6,3,ML,193,34,-66,normal,model_prediction,high,0.854414582
7157701,2016-08-25T04:13:26.97Z,42.5963,13.2843,7.3,3,ML,326,44,-77,normal,model_prediction,moderate,0.842383444
12711471,2017-01-18T14:52:26.83Z,42.5327,13.2673,11.1,3.5,ML,321,63,-111,normal,model_prediction,high,0.827277839
6638471,2016-04-25T07:47:50.90Z,44.056,11.3848,4.2,3.5,ML,266,28,-119,normal,model_prediction,high,0.848772466
13383881,2017-02-06T18:12:21.84Z,42.7418,13.1762,11,3.4,ML,269,52,93,thrust,model_prediction,moderate,0.784182429
3258321,2014-03-23T18:47:13.96Z,43.4985,12.3712,6.6,3.3,ML,144,31,-51,normal,model_prediction,moderate,0.833804905
15666801,2017-06-02T10:04:56.58Z,43.6002,11.1708,8.4,3,ML,99,75,-166,strike_slip,model_prediction,moderate,0.825808465
6770921,2016-05-31T20:31:30.52Z,42.6938,11.9632,8.1,3,ML,114,44,-66,normal,model_prediction,moderate,0.842665315
8866681,2016-10-30T07:38:59.03Z,42.6822,13.1567,10.7,4,ML,170,25,-36,strike_slip,model_prediction,moderate,0.803638875
2541871,2013-09-06T01:45:08.12Z,44.8857,11.2767,11.4,3.4,ML,273,47,93,thrust,model_prediction,high,0.795378923
21151781,2018-11-26T23:04:21.30Z,44.6317,9.5083,8.2,3.2,ML,287,67,-102,normal,model_prediction,high,0.833975017
17928691,2017-12-26T11:45:40.77Z,42.7252,13.1413,10.4,3.1,ML,316,73,-115,normal,model_prediction,moderate,0.83015275
19925481,2018-07-01T23:41:17.69Z,44.1737,10.5402,18.1,3,ML,283,43,-120,normal,model_prediction,moderate,0.81076169
6900261,2016-07-03T15:44:44.14Z,41.8605,14.1133,10.5,3,ML,129,18,-108,normal,model_prediction,moderate,0.859006226
1008471,2012-06-25T01:39:17.63Z,41.8863,15.5222,21,3.4,ML,282,58,113,thrust,model_prediction,moderate,0.786400318
2398039,2011-07-10T18:13:39.94Z,42.122,12.47,6.6,3.4,ML,259,61,103,thrust,model_prediction,high,0.804237127
16145011,2017-07-01T19:12:26.73Z,41.9798,14.0702,8.3,3.2,ML,7,89,-17,strike_slip,model_prediction,high,0.810487866
7240741,2016-08-26T15:16:23.76Z,42.597,13.2915,9.2,3,ML,327,60,-76,normal,model_prediction,high,0.844076037
9117661,2016-11-02T08:35:51.44Z,42.8913,13.1657,10.3,2.9,ML,165,30,-63,normal,model_prediction,high,0.819146454
1773871,2013-03-04T03:53:15.50Z,44.0413,11.5655,9.4,3.4,ML,105,28,-94,normal,model_prediction,high,0.87407124
2372689,2011-06-04T22:18:37.56Z,43.855,11.985,6.9,3.4,ML,164,90,11,strike_slip,model_prediction,high,0.830177963
4265531,2014-10-01T12:56:17.69Z,43.5763,12.3478,8,3.1,ML,298,59,-114,normal,model_prediction,high,0.81303215
2198439,2010-05-29T15:04:05.13Z,41.572,14.123,10.2,3.3,ML,308,44,-61,normal,model_prediction,high,0.869986296
1537911,2012-11-16T23:11:10.95Z,42.411,13.3698,9.6,3.2,ML,4,64,-28,strike_slip,model_prediction,moderate,0.784243345
2425809,2011-09-07T21:10:19.61Z,42.444,13.345,11.8,3.1,ML,204,58,-10,strike_slip,model_prediction,moderate,0.799679756
2176231,2013-06-23T01:42:06.69Z,43.377,12.5035,7.9,3,ML,140,23,-81,normal,model_prediction,high,0.850102723
15670781,2017-06-02T14:28:33.89Z,42.792,13.1477,9.4,2.6,ML,342,16,-106,normal,model_prediction,moderate,0.78345263
7377911,2016-08-29T10:41:51.67Z,42.7058,13.2672,11.2,2.6,ML,331,77,84,thrust,model_prediction,moderate,0.78715533
2218329,2010-07-04T11:38:58.26Z,42.177,13.4,9,3.7,ML,321,30,-82,normal,model_prediction,high,0.842358232
21100851,2018-11-14T15:01:02.07Z,38.3998,15.7542,18.1,3.4,ML,49,63,-98,normal,model_prediction,high,0.877262115
8872511,2016-10-30T09:19:20.50Z,42.9063,13.1867,6.7,3.4,ML,2,39,-39,strike_slip,model_prediction,high,0.813233197
9202071,2016-11-03T12:22:20.08Z,42.9237,13.1997,8.6,3.3,ML,330,51,-96,normal,model_prediction,high,0.851036191
3251791,2014-03-23T08:00:50.40Z,41.2573,15.2675,18.5,3.2,ML,124,33,-127,normal,model_prediction,high,0.833409548
5269931,2015-04-16T11:41:47.17Z,41.7737,15.337,10,3.2,ML,282,65,122,thrust,model_prediction,moderate,0.784041047
5279861,2015-04-17T09:10:59.54Z,41.773,15.3593,23.1,3.1,ML,247,70,75,thrust,model_prediction,moderate,0.807302237
13161361,2017-01-30T12:44:24.73Z,42.6263,13.2962,9.8,3,ML,324,55,-92,normal,model_prediction,high,0.851232469
2196969,2010-05-26T23:38:19.21Z,42.567,13.229,10.3,3,ML,142,46,-96,normal,model_prediction,moderate,0.867640436
8680631,2016-10-26T23:17:00.20Z,42.927,13.1397,14.3,3,ML,157,50,-91,normal,model_prediction,moderate,0.871232867
2927151,2014-01-08T11:28:49.54Z,43.3802,12.5077,5.8,3.2,ML,145,19,-105,normal,model_prediction,high,0.861914814
2096749,2009-08-26T23:18:28.37Z,42.584,13.19,10.1,3.1,ML,318,56,-96,normal,model_prediction,high,0.868459344
2147989,2010-01-17T11:44:34.31Z,42.635,13.32,7.5,3.1,ML,158,51,-87,normal,model_prediction,moderate,0.8473773
2270741,2013-07-02T22:52:51.66Z,43.4342,13.1218,8.9,3,ML,329,89,158,strike_slip,model_prediction,high,0.807354808
7381431,2016-08-29T12:53:13.32Z,42.6252,13.3007,8.4,2.4,ML,295,75,-131,normal,model_prediction,high,0.8071661
1177001,2012-08-12T01:21:36.80Z,41.7267,16.2543,29.1,4.2,ML,272,45,142,strike_slip,model_prediction,high,0.810398102
2247809,2010-09-03T02:24:25.65Z,42.518,13.23,10.3,3.3,ML,315,44,-53,normal,model_prediction,high,0.863093853
2672391,2013-10-19T02:15:28.68Z,43.3768,12.5257,8.1,3.3,ML,331,45,-94,normal,model_prediction,high,0.850233674
2038939,2009-06-19T19:47:09.53Z,42.298,13.382,9.3,3.2,ML,340,44,-77,normal,model_prediction,high,0.860927939
5128111,2015-03-22T00:50:58.88Z,44.1698,10.8725,14.8,3.1,ML,336,69,-3,strike_slip,model_prediction,moderate,0.823960662
13392411,2017-02-07T08:22:00.76Z,42.5545,13.3233,9,3,ML,116,87,-75,normal,model_prediction,moderate,0.79137671
20483341,2018-08-24T06:14:34.46Z,43.3947,12.4682,7.6,2.8,ML,247,6,60,thrust,model_prediction,high,0.809964895
2054309,2009-07-03T01:14:07.26Z,42.319,13.366,11.1,3.6,ML,1,44,-55,normal,model_prediction,high,0.860037088
2371719,2011-06-04T18:06:50.27Z,43.871,11.98,7.4,3.6,ML,90,51,-97,normal,model_prediction,high,0.876140654
2395829,2011-07-06T21:34:52.19Z,42.438,13.289,15.2,3.4,ML,107,83,-177,strike_slip,model_prediction,high,0.813372731
2055499,2009-07-03T23:12:55.18Z,42.287,13.394,8.6,3.3,ML,330,55,-96,normal,model_prediction,high,0.850960672
2257169,2010-09-17T19:21:48.03Z,41.498,15.648,31.1,3.3,ML,293,73,-111,normal,model_prediction,high,0.830750525
1854369,2008-10-01T22:47:37.23Z,42.59,13.287,15.4,3.1,ML,331,75,-86,normal,model_prediction,moderate,0.852014661
2903411,2014-01-03T03:51:24.40Z,43.3865,12.5288,5.6,3.1,ML,144,56,-96,normal,model_prediction,high,0.866070569
14440961,2017-03-27T09:36:20.35Z,41.502,14.997,16.6,3,ML,138,56,-97,normal,model_prediction,moderate,0.842768312
2012031,2013-05-08T19:13:44.43Z,43.4498,12.3028,8.1,2.7,ML,128,41,-98,normal,model_prediction,high,0.800712705
5436131,2015-05-12T02:02:50.36Z,45.8318,12.1107,9.6,3.5,ML,217,32,59,thrust,model_prediction,high,0.812280774
2081589,2009-08-02T22:39:28.34Z,42.353,13.388,10.4,3.2,ML,117,53,-112,normal,model_prediction,high,0.854195833
2319481,2013-07-11T12:08:28.91Z,43.8227,12.0618,7.6,3.2,ML,309,53,-105,normal,model_prediction,high,0.86111474
4325591,2014-10-16T22:23:05.69Z,43.7662,11.9398,13.8,3.2,ML,290,74,-111,normal,model_prediction,high,0.814371824
3306881,2014-03-29T12:42:48.41Z,43.0288,12.9147,7.8,2.9,ML,266,51,-138,strike_slip,model_prediction,high,0.788469434
773591,2012-05-20T02:39:07.41Z,44.8813,11.227,6.6,4,ML,197,78,-3,strike_slip,model_prediction,high,0.793283582
2441609,2011-10-18T21:13:07.34Z,42.393,13.43,9.6,3.4,ML,333,38,-83,normal,model_prediction,high,0.836613238
17162501,2017-09-26T01:02:41.19Z,42.5603,13.3482,9,3.1,ML,15,28,-55,normal,model_prediction,high,0.833098888
1762701,2013-02-25T22:19:25.14Z,45.6698,10.0575,6.3,3.1,ML,194,79,16,strike_slip,model_prediction,moderate,0.787301302
6667261,2016-05-04T08:17:48.30Z,44.3663,10.8157,23.1,3.1,ML,265,67,56,thrust,model_prediction,moderate,0.795820355
2671761,2013-10-18T20:50:52.45Z,40.8017,15.2175,15.7,3,ML,290,48,-117,normal,model_prediction,moderate,0.85267067
11676431,2016-12-17T15:20:31.41Z,42.6277,13.2062,11.5,2.6,ML,187,7,96,thrust,model_prediction,high,0.808141112
15688531,2017-06-03T13:25:05.02Z,44.5032,9.5973,9.5,3.5,ML,309,47,-79,normal,model_prediction,high,0.86377424
2222949,2010-07-13T03:36:18.78Z,40.579,15.487,9.1,3.5,ML,145,20,-108,normal,model_prediction,high,0.871598721
1899809,2009-04-06T12:55:16.68Z,42.364,13.346,9.5,3.3,ML,138,33,-113,normal,model_prediction,high,0.867517769
1923869,2009-04-10T04:33:04.35Z,42.45,13.378,11.2,3.3,ML,295,82,-114,normal,model_prediction,high,0.832850814
20988081,2018-10-26T08:28:56.25Z,37.8952,14.4613,6.9,3.3,ML,267,35,-123,normal,model_prediction,high,0.847235262
2383989,2011-06-17T11:33:10.27Z,43.133,12.56,9.4,3.3,ML,310,85,103,thrust,model_prediction,moderate,0.785923541
3404581,2014-04-15T08:10:41.16Z,42.9753,12.912,9.1,3.3,ML,119,55,-123,normal,model_prediction,high,0.80738914
14347321,2017-03-23T00:08:26.59Z,40.6057,15.7278,16.4,3.1,ML,293,66,-126,normal,model_prediction,high,0.827581584
2284409,2010-11-11T01:35:58.38Z,42.445,13.334,12.5,3.1,ML,142,21,-82,normal,model_prediction,moderate,0.83443439
5396061,2015-05-05T17:19:56.02Z,40.8078,15.1962,12.9,3,ML,145,30,-57,normal,model_prediction,moderate,0.85461247
6490431,2016-03-08T10:03:56.37Z,41.0955,15.2362,14.1,3,ML,317,72,-99,normal,model_prediction,moderate,0.850502253
2005341,2013-05-08T10:13:58.00Z,43.4502,12.2957,8.7,2.7,ML,165,30,-15,strike_slip,model_prediction,high,0.811313868
12698591,2017-01-18T10:39:24.70Z,42.5332,13.271,10.3,4.1,ML,180,27,-45,normal,model_prediction,high,0.821742773
1968169,2009-04-22T12:32:25.31Z,42.576,12.833,8.9,3.6,ML,168,42,-84,normal,model_prediction,high,0.875242174
1929239,2009-04-11T07:04:14.42Z,42.382,13.409,10.1,3.3,ML,131,53,-95,normal,model_prediction,high,0.878579021
1957409,2009-04-18T11:07:21.66Z,42.259,13.491,9.2,3.3,ML,150,60,-81,normal,model_prediction,high,0.865496159
1777691,2013-03-06T02:12:43.04Z,44.0317,11.5532,7.1,3.1,ML,120,26,-78,normal,model_prediction,moderate,0.840700388
2073999,2009-07-23T22:37:33.00Z,42.25,13.495,10.1,3.1,ML,144,47,-45,normal,model_prediction,high,0.833781004
1963279,2009-04-20T02:22:16.04Z,42.377,13.322,10.4,3,ML,133,58,-119,normal,model_prediction,moderate,0.861026704
14078071,2017-03-10T13:37:54.77Z,39.0287,15.4412,23.6,3.6,ML,293,78,179,strike_slip,model_prediction,moderate,0.78542316
778811,2012-05-20T07:23:33.17Z,44.8732,11.4087,5,3.6,ML,292,32,99,thrust,model_prediction,moderate,0.786090791
2001639,2009-05-11T16:59:04.05Z,42.489,13.377,9.7,3.5,ML,318,60,-99,normal,model_prediction,high,0.864744067
2236829,2010-08-10T22:27:48.92Z,43.673,12.006,7.6,3.2,ML,130,44,-91,normal,model_prediction,high,0.855838776
2039289,2009-06-20T05:41:16.05Z,42.324,13.371,9.7,3,ML,348,38,-60,normal,model_prediction,high,0.85525012
2516851,2013-08-30T09:53:25.86Z,43.8025,11.9825,6.4,3,ML,308,46,-96,normal,model_prediction,high,0.821239591
19014311,2018-04-25T18:03:06.10Z,42.9663,13.0328,8.1,2.7,ML,157,56,-83,normal,model_prediction,high,0.803690076
12271731,2017-01-02T04:49:39.21Z,42.8067,13.1228,11,2.2,ML,267,9,159,strike_slip,model_prediction,high,0.792550325
5823291,2015-07-23T13:28:20.50Z,41.4908,14.97,22.4,3.4,ML,133,50,-114,normal,model_prediction,high,0.869656801
2140419,2009-12-17T03:43:33.11Z,43.533,12.981,35,3.3,ML,314,86,83,thrust,model_prediction,high,0.824900627
2579121,2013-09-17T22:56:38.28Z,40.793,15.7947,13.3,3.3,ML,359,36,-46,normal,model_prediction,high,0.846609831
1972449,2009-04-24T13:38:53.43Z,42.519,13.345,8.9,3.2,ML,343,42,-64,normal,model_prediction,high,0.868051171
2039819,2009-06-21T00:55:17.32Z,42.281,13.479,10.2,3.2,ML,345,84,93,thrust,model_prediction,high,0.802053332
2049569,2009-06-29T05:54:33.81Z,42.462,13.366,12.9,3.2,ML,119,43,-108,normal,model_prediction,high,0.87705791
2083079,2009-08-04T21:42:54.65Z,41.744,14.235,20.4,3.2,ML,115,75,-156,strike_slip,model_prediction,high,0.823489189
2884931,2013-12-31T00:30:04.65Z,43.0532,13.522,30.3,3.2,ML,339,71,99,thrust,model_prediction,high,0.793489218
1924289,2009-04-10T06:41:31.24Z,42.516,13.341,9.2,3.1,ML,333,33,-68,normal,model_prediction,high,0.846840203
